US-Alabama,,,,,
US-Alaska,,,,,
US-Arizona,,,,,
US-Arkansas,,,,,
US-California,,,,,
US-Colorado,,,,,
US-Connecticut,,,,,
US-Delaware,,,,,
US-District_of_Columbia,,,,,
US-Florida,,,,,
US-Georgia,,,,,
US-Hawaii,,,,,
US-Idaho,,,,,
US-Illinois,,,,,python ./mobius.py full US-New_York_2020-04-05.pdf US-New_York_2020-04-05.svg mobility-report-data-extractor-master/output config/dates_lookup_2020_04_05.csv
US-Indiana,,,,,
US-Iowa,,,,,
US-Kansas,,,,,
US-Kentucky,,,,,
US-Louisiana,,,,,
US-Maine,,,,,
US-Maryland,,,,,
US-Massachusetts,,,,,
US-Michigan,,,,,
US-Minnesota,,,,,
US-Mississippi,,,,,
US-Missouri,,,,,
US-Montana,,,,,
US-Nebraska,,,,,
US-Nevada,,,,,
US-New_Hampshire,,,,,
US-New_Jersey,,,,,
US-New_Mexico,,,,,
US-New_York,,,,,
US-North_Carolina,,,,,
US-North_Dakota,,,,,
US-Ohio,,,,,
US-Oklahoma,,,,,
US-Oregon,,,,,
US-Pennsylvania,,,,,
US-Rhode_Island,,,,,
US-South_Carolina,,,,,
US-South_Dakota,,,,,
US-Tennessee,,,,,
US-Texas,,,,,
US-Utah,,,,,
US-Vermont,,,,,
US-Virginia,,,,,
US-Washington,,,,,
US-West_Virginia,,,,,
US-Wisconsin,,,,,
US-Wyoming,,,,,
