FIPS,State,Area_Name,Rural-urban_Continuum Code_2003,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2003,Urban_Influence_Code_2013,Economic_typology_2015,CENSUS_2010_POP,ESTIMATES_BASE_2010,POP_ESTIMATE_2010,POP_ESTIMATE_2011,POP_ESTIMATE_2012,POP_ESTIMATE_2013,POP_ESTIMATE_2014,POP_ESTIMATE_2015,POP_ESTIMATE_2016,POP_ESTIMATE_2017,POP_ESTIMATE_2018,N_POP_CHG_2010,N_POP_CHG_2011,N_POP_CHG_2012,N_POP_CHG_2013,N_POP_CHG_2014,N_POP_CHG_2015,N_POP_CHG_2016,N_POP_CHG_2017,N_POP_CHG_2018,Births_2010,Births_2011,Births_2012,Births_2013,Births_2014,Births_2015,Births_2016,Births_2017,Births_2018,Deaths_2010,Deaths_2011,Deaths_2012,Deaths_2013,Deaths_2014,Deaths_2015,Deaths_2016,Deaths_2017,Deaths_2018,NATURAL_INC_2010,NATURAL_INC_2011,NATURAL_INC_2012,NATURAL_INC_2013,NATURAL_INC_2014,NATURAL_INC_2015,NATURAL_INC_2016,NATURAL_INC_2017,NATURAL_INC_2018,INTERNATIONAL_MIG_2010,INTERNATIONAL_MIG_2011,INTERNATIONAL_MIG_2012,INTERNATIONAL_MIG_2013,INTERNATIONAL_MIG_2014,INTERNATIONAL_MIG_2015,INTERNATIONAL_MIG_2016,INTERNATIONAL_MIG_2017,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2010,DOMESTIC_MIG_2011,DOMESTIC_MIG_2012,DOMESTIC_MIG_2013,DOMESTIC_MIG_2014,DOMESTIC_MIG_2015,DOMESTIC_MIG_2016,DOMESTIC_MIG_2017,DOMESTIC_MIG_2018,NET_MIG_2010,NET_MIG_2011,NET_MIG_2012,NET_MIG_2013,NET_MIG_2014,NET_MIG_2015,NET_MIG_2016,NET_MIG_2017,NET_MIG_2018,RESIDUAL_2010,RESIDUAL_2011,RESIDUAL_2012,RESIDUAL_2013,RESIDUAL_2014,RESIDUAL_2015,RESIDUAL_2016,RESIDUAL_2017,RESIDUAL_2018,GQ_ESTIMATES_BASE_2010,GQ_ESTIMATES_2010,GQ_ESTIMATES_2011,GQ_ESTIMATES_2012,GQ_ESTIMATES_2013,GQ_ESTIMATES_2014,GQ_ESTIMATES_2015,GQ_ESTIMATES_2016,GQ_ESTIMATES_2017,GQ_ESTIMATES_2018,R_birth_2011,R_birth_2012,R_birth_2013,R_birth_2014,R_birth_2015,R_birth_2016,R_birth_2017,R_birth_2018,R_death_2011,R_death_2012,R_death_2013,R_death_2014,R_death_2015,R_death_2016,R_death_2017,R_death_2018,R_NATURAL_INC_2011,R_NATURAL_INC_2012,R_NATURAL_INC_2013,R_NATURAL_INC_2014,R_NATURAL_INC_2015,R_NATURAL_INC_2016,R_NATURAL_INC_2017,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2011,R_INTERNATIONAL_MIG_2012,R_INTERNATIONAL_MIG_2013,R_INTERNATIONAL_MIG_2014,R_INTERNATIONAL_MIG_2015,R_INTERNATIONAL_MIG_2016,R_INTERNATIONAL_MIG_2017,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2011,R_DOMESTIC_MIG_2012,R_DOMESTIC_MIG_2013,R_DOMESTIC_MIG_2014,R_DOMESTIC_MIG_2015,R_DOMESTIC_MIG_2016,R_DOMESTIC_MIG_2017,R_DOMESTIC_MIG_2018,R_NET_MIG_2011,R_NET_MIG_2012,R_NET_MIG_2013,R_NET_MIG_2014,R_NET_MIG_2015,R_NET_MIG_2016,R_NET_MIG_2017,R_NET_MIG_2018
0,US,United States,,,,,,308745538,308758105,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,567980.0,2253924.0,2294209.0,2183509.0,2328694.0,2356252.0,2328669.0,2075779.0,2020313.0,987836.0,3973485.0,3936976.0,3940576.0,3963195.0,3992376.0,3962654.0,3901982.0,3855500.0,598691.0,2512442.0,2501531.0,2608019.0,2582448.0,2699826.0,2703215.0,2779436.0,2814013.0,389145.0,1461043.0,1435445.0,1332557.0,1380747.0,1292550.0,1259439.0,1122546.0,1041487.0,178835.0,792881.0,858764.0,850952.0,947947.0,1063702.0,1069230.0,953233.0,978826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178835.0,792881.0,858764.0,850952.0,947947.0,1063702.0,1069230.0,953233.0,978826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7999000.0,8034794.0,8056903.0,8075703.0,8061697.0,8097666.0,8102956.0,8084094.0,8086688.0,8091609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,AL,Alabama,,,,,,4779736,4780138,4785448,4798834,4815564,4830460,4842481,4853160,4864745,4875120,4887871,5310.0,13386.0,16730.0,14896.0,12021.0,10679.0,11585.0,10375.0,12751.0,14227.0,59689.0,59070.0,57936.0,58907.0,59637.0,59388.0,58259.0,57216.0,11073.0,48818.0,48364.0,50847.0,49692.0,51820.0,51662.0,53033.0,53425.0,3154.0,10871.0,10706.0,7089.0,9215.0,7817.0,7726.0,5226.0,3791.0,928.0,4716.0,5874.0,5111.0,3753.0,4685.0,5950.0,3190.0,3344.0,1238.0,-2239.0,59.0,2641.0,-755.0,-1553.0,-1977.0,2065.0,5718.0,2166.0,2477.0,5933.0,7752.0,2998.0,3132.0,3973.0,5255.0,9062.0,-10.0,38.0,91.0,55.0,-192.0,-270.0,-114.0,-106.0,-102.0,116185.0,116250.0,115403.0,115929.0,117240.0,119454.0,120413.0,119229.0,117456.0,117443.0,12.455601786,12.287820829,12.012410502,12.179749675,12.301816868,12.222387438,11.962999487,11.720998206,10.187095914,10.060744313,10.542582104,10.274434632,10.689339673,10.632332792,10.889883997,10.944391939,2.2685058724,2.2270765159,1.4698283977,1.9053150433,1.6124771946,1.5900546466,1.0731154898,0.7766062675,0.9841112772,1.2219173785,1.0597112344,0.7759790947,0.9664136698,1.2245437674,0.6550398799,0.685035969,-0.467223314,0.0122732593,0.5475831286,-0.156105573,-0.320350145,-0.40687782,0.4240305179,1.1713623417,0.516887963,1.2341906378,1.6072943629,0.6198735214,0.6460635248,0.8176659475,1.0790703978,1.8563983107
1001,AL,Autauga County,2.0,2.0,2.0,2.0,0.0,54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601,180.0,454.0,-272.0,-223.0,163.0,-38.0,404.0,201.0,158.0,151.0,636.0,614.0,573.0,639.0,650.0,669.0,660.0,655.0,152.0,507.0,560.0,582.0,576.0,583.0,552.0,512.0,532.0,-1.0,129.0,54.0,-9.0,63.0,67.0,117.0,148.0,123.0,24.0,4.0,-14.0,11.0,7.0,5.0,23.0,-2.0,-2.0,147.0,326.0,-323.0,-224.0,101.0,-107.0,266.0,59.0,37.0,171.0,330.0,-337.0,-213.0,108.0,-102.0,289.0,57.0,35.0,10.0,-5.0,11.0,-1.0,-8.0,-3.0,-2.0,-4.0,0.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,455.0,11.567632455,11.149041255,10.451531706,11.661754373,11.84898919,12.154796512,11.925735194,11.797125464,9.2213673815,10.168506682,10.61569189,10.512003942,10.627631843,10.029069767,9.2514794236,9.5817873996,2.3462650734,0.9805345729,-0.164160184,1.1497504312,1.2213573473,2.1257267442,2.6742557709,2.2153380642,0.0727524054,-0.254212667,0.2006402247,0.1277500479,0.0911460707,0.417877907,-0.036138591,-0.036021757,5.9293210382,-5.86504939,-4.085764576,1.8432506912,-1.950525913,4.8328488372,1.0660884492,0.6664025071,6.0020734436,-6.119262057,-3.885124351,1.9710007391,-1.859379842,5.2507267442,1.0299498577,0.63038075
1003,AL,Baldwin County,4.0,3.0,5.0,2.0,5.0,182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022,847.0,3429.0,3603.0,4743.0,4303.0,3806.0,4717.0,4907.0,5403.0,516.0,2188.0,2094.0,2161.0,2216.0,2256.0,2300.0,2282.0,2254.0,532.0,1825.0,1882.0,1904.0,1989.0,2090.0,2012.0,2124.0,2228.0,-16.0,363.0,212.0,257.0,227.0,166.0,288.0,158.0,26.0,36.0,176.0,241.0,206.0,112.0,176.0,222.0,113.0,118.0,780.0,2845.0,3081.0,4198.0,3876.0,3430.0,4190.0,4623.0,5232.0,816.0,3021.0,3322.0,4404.0,3988.0,3606.0,4412.0,4736.0,5350.0,47.0,45.0,69.0,82.0,88.0,34.0,17.0,13.0,27.0,2307.0,2307.0,2263.0,2241.0,2297.0,2332.0,2337.0,2275.0,2193.0,2190.0,11.838193323,11.118101958,11.225128497,11.246590116,11.218745649,11.200198682,10.858109442,10.468116134,9.8741786171,9.9924870514,9.8901641175,10.094525154,10.393252839,9.7977390208,10.106320971,10.347365903,1.9640147058,1.125614907,1.3349643793,1.1520649623,0.8254928093,1.402459661,0.7517884715,0.1207502305,0.9522495543,1.279590531,1.070049269,0.5684197171,0.8752212917,1.0810626554,0.5376715017,0.5480202768,15.392897625,16.358582681,21.806149667,19.671382351,17.056869493,20.403840207,21.996950023,24.298661762,16.345147179,17.638173212,22.876198936,20.239802068,17.932090784,21.484902863,22.534621524,24.846682039
1005,AL,Barbour County,6.0,6.0,6.0,6.0,3.0,27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881,-127.0,20.0,-176.0,-230.0,-186.0,-464.0,-475.0,-661.0,-277.0,70.0,334.0,300.0,283.0,264.0,272.0,276.0,273.0,261.0,128.0,318.0,292.0,295.0,313.0,330.0,281.0,298.0,324.0,-58.0,16.0,8.0,-12.0,-49.0,-58.0,-5.0,-25.0,-63.0,-1.0,-4.0,-11.0,-10.0,4.0,15.0,20.0,12.0,12.0,-69.0,11.0,-174.0,-209.0,-141.0,-427.0,-493.0,-650.0,-227.0,-70.0,7.0,-185.0,-219.0,-137.0,-412.0,-473.0,-638.0,-215.0,1.0,-3.0,1.0,1.0,0.0,6.0,3.0,2.0,1.0,3193.0,3193.0,3379.0,3389.0,3387.0,3351.0,3196.0,2977.0,2818.0,2820.0,12.216532553,11.004328369,10.458627444,9.8320360508,10.254090326,10.592366588,10.710712674,10.431863147,11.631309437,10.710879613,10.902102812,11.65692153,12.440624293,10.784257287,11.691547168,12.949899079,0.5852231163,0.2934487565,-0.443475369,-1.824885479,-2.186533967,-0.191890699,-0.980834494,-2.518035932,-0.146305779,-0.40349204,-0.369562807,0.1489702432,0.5654829224,0.7675627962,0.4708005571,0.4796258918,0.4023408925,-6.382510454,-7.72386267,-5.251201073,-16.09741386,-18.92042293,-25.50169684,-9.07292312,0.2560351134,-6.786002494,-8.093425478,-5.102230829,-15.53193094,-18.15286013,-25.03089629,-8.593297228
1007,AL,Bibb County,1.0,1.0,1.0,1.0,0.0,22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400,-48.0,-125.0,-83.0,-148.0,25.0,21.0,14.0,-21.0,-155.0,44.0,266.0,245.0,258.0,254.0,252.0,274.0,270.0,250.0,34.0,277.0,239.0,281.0,249.0,262.0,243.0,219.0,256.0,10.0,-11.0,6.0,-23.0,5.0,-10.0,31.0,51.0,-6.0,0.0,10.0,20.0,20.0,14.0,11.0,16.0,10.0,10.0,-59.0,-125.0,-106.0,-148.0,10.0,23.0,-33.0,-81.0,-158.0,-59.0,-115.0,-86.0,-128.0,24.0,34.0,-17.0,-71.0,-148.0,1.0,1.0,-3.0,3.0,-4.0,-3.0,0.0,-1.0,-1.0,2224.0,2224.0,2224.0,2226.0,2224.0,2239.0,2255.0,2201.0,2149.0,2151.0,11.66180758,10.790337143,11.420982736,11.274607719,11.174422987,12.140546768,11.965168066,11.122233344,12.144062781,10.526083988,12.439132359,11.052666622,11.617852471,10.766981257,9.7050807649,11.389166945,-0.482255201,0.2642531545,-1.018149624,0.2219410968,-0.443429484,1.3735655102,2.2600873014,-0.2669336,0.4384138188,0.8808438484,0.8853474989,0.6214350711,0.487772432,0.7089370375,0.4431543728,0.4448893338,-5.480172735,-4.668472397,-6.551571492,0.4438821937,1.0198878123,-1.46218264,-3.58955042,-7.029251474,-5.041758916,-3.787628548,-5.666223993,1.0653172648,1.5076602443,-0.753245602,-3.146396047,-6.58436214
1009,AL,Blount County,1.0,1.0,1.0,1.0,0.0,57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840,52.0,181.0,16.0,41.0,-90.0,1.0,-5.0,310.0,13.0,183.0,744.0,712.0,646.0,619.0,716.0,699.0,661.0,681.0,132.0,569.0,593.0,584.0,588.0,635.0,642.0,714.0,662.0,51.0,175.0,119.0,62.0,31.0,81.0,57.0,-53.0,19.0,-2.0,-13.0,5.0,47.0,43.0,16.0,42.0,8.0,8.0,9.0,27.0,-99.0,-64.0,-157.0,-90.0,-101.0,359.0,-10.0,7.0,14.0,-94.0,-17.0,-114.0,-74.0,-59.0,367.0,-2.0,-6.0,-8.0,-9.0,-4.0,-7.0,-6.0,-3.0,-4.0,-4.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,489.0,12.947349187,12.369271394,11.217127825,10.752874961,12.447519623,12.15240049,11.461367735,11.775182204,9.9019377518,10.301935305,10.140561377,10.214362645,11.039350504,11.16143221,12.380357886,11.446652891,3.0454114351,2.0673360898,1.0765664476,0.5385123163,1.4081691194,0.9909682803,-0.918990151,0.3285293126,-0.226230564,0.0868628609,0.8161068232,0.7469686968,0.2781568631,0.7301871539,0.1387154945,0.1383281316,0.4698634786,-1.719884646,-1.111294398,-2.727304312,-1.564632355,-1.755926251,6.2248578166,-0.172910165,0.2436329148,-1.633021785,-0.295187574,-1.980335615,-1.286475492,-1.025739097,6.3635733111,-0.034582033
1011,AL,Bullock County,6.0,6.0,6.0,6.0,3.0,10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138,-33.0,-201.0,-70.0,-56.0,114.0,-265.0,-19.0,-205.0,-38.0,39.0,169.0,122.0,132.0,124.0,124.0,143.0,125.0,115.0,52.0,132.0,117.0,120.0,115.0,133.0,130.0,116.0,120.0,-13.0,37.0,5.0,12.0,9.0,-9.0,13.0,9.0,-5.0,2.0,17.0,7.0,18.0,6.0,-2.0,-1.0,-2.0,-2.0,-24.0,-260.0,-82.0,-86.0,95.0,-257.0,-31.0,-214.0,-30.0,-22.0,-243.0,-75.0,-68.0,101.0,-259.0,-32.0,-216.0,-32.0,2.0,5.0,0.0,0.0,4.0,3.0,0.0,2.0,-1.0,1690.0,1690.0,1690.0,1778.0,1715.0,1753.0,1660.0,1728.0,1660.0,1661.0,15.680816516,11.464010524,12.477549863,11.689291101,11.773083314,13.76257158,12.161307584,11.322240819,12.247738344,10.994174027,11.343227148,10.840874811,12.627581296,12.511428709,11.285693438,11.814512159,3.4330781721,0.4698364969,1.1343227148,0.8484162896,-0.854497982,1.2511428709,0.875614146,-0.49227134,1.5773602412,0.6577710957,1.7014840722,0.5656108597,-0.189888441,-0.096241759,-0.194580921,-0.196908536,-24.1243331,-7.705318549,-8.129312789,8.955505279,-24.40066461,-2.983494538,-20.82015858,-2.95362804,-22.54697286,-7.047547453,-6.427828717,9.5211161388,-24.59055305,-3.079736298,-21.0147395,-3.150536576
1013,AL,Butler County,6.0,6.0,6.0,6.0,0.0,20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680,-1.0,-64.0,-191.0,-313.0,-31.0,-167.0,-147.0,-131.0,-218.0,65.0,276.0,242.0,240.0,250.0,239.0,231.0,234.0,221.0,59.0,261.0,272.0,261.0,288.0,277.0,254.0,261.0,239.0,6.0,15.0,-30.0,-21.0,-38.0,-38.0,-23.0,-27.0,-18.0,0.0,1.0,6.0,7.0,20.0,26.0,31.0,17.0,17.0,-4.0,-78.0,-168.0,-303.0,-11.0,-153.0,-154.0,-121.0,-217.0,-4.0,-77.0,-162.0,-296.0,9.0,-127.0,-123.0,-104.0,-200.0,-3.0,-2.0,1.0,4.0,-2.0,-2.0,-1.0,0.0,0.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,333.0,13.199426112,11.644412366,11.689924746,12.279883096,11.796934771,11.491108071,11.72139154,11.167820506,12.482065997,13.08793456,12.712793161,14.146425326,13.67259804,12.635244373,13.073859794,12.077416747,0.7173601148,-1.443522194,-1.022868415,-1.866542231,-1.875663269,-1.144136301,-1.352468255,-0.90959624,0.0478240077,0.2887044388,0.3409561384,0.9823906476,1.2833485525,1.5420967541,0.8515540862,0.8590631159,-3.730272597,-8.083724287,-14.75852999,-0.540314856,-7.552012636,-7.660738714,-6.061061437,-10.96568801,-3.682448589,-7.795019848,-14.41757385,0.4420757914,-6.268664084,-6.11864196,-5.209507351,-10.10662489
1015,AL,Calhoun County,3.0,3.0,2.0,2.0,4.0,118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277,-117.0,-680.0,-540.0,-716.0,-546.0,-459.0,-518.0,-354.0,-387.0,317.0,1383.0,1358.0,1308.0,1317.0,1387.0,1381.0,1308.0,1293.0,310.0,1326.0,1356.0,1411.0,1391.0,1454.0,1469.0,1446.0,1494.0,7.0,57.0,2.0,-103.0,-74.0,-67.0,-88.0,-138.0,-201.0,-4.0,28.0,70.0,46.0,68.0,55.0,75.0,47.0,71.0,-112.0,-773.0,-603.0,-656.0,-533.0,-438.0,-503.0,-258.0,-253.0,-116.0,-745.0,-533.0,-610.0,-465.0,-383.0,-428.0,-211.0,-182.0,-8.0,8.0,-9.0,-3.0,-7.0,-9.0,-2.0,-5.0,-4.0,2933.0,2934.0,2882.0,2958.0,2814.0,2797.0,2775.0,2760.0,2743.0,2739.0,11.706747251,11.554791665,11.189146186,11.327278357,11.981116999,11.979839864,11.389660487,11.29548661,11.224256583,11.537774299,12.070248676,11.963738948,12.559873192,12.743218508,12.591321915,13.051397522,0.4824906676,0.0170173662,-0.88110249,-0.636460591,-0.578756192,-0.763378644,-1.201661428,-1.755910912,0.2370129595,0.5956078178,0.393502083,0.5848556783,0.475098367,0.6506067993,0.4092615007,0.6202471379,-6.543250633,-5.130735916,-5.611681879,-4.584236419,-3.783510631,-4.363402934,-2.246584408,-2.210176421,-6.306237673,-4.535128098,-5.218179796,-3.999380741,-3.308412264,-3.712796135,-1.837322907,-1.589929283
