country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-23,3.354,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-24,-1.975,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-25,6.971,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-26,15.597,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-27,11.776,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-28,12.323,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-02-29,14.594,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-01,16.303,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-02,8.136,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-03,20.239,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-04,6.703,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-05,6.811,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-06,9.237,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-07,11.946,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-08,11.964,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-09,9.987,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-10,8.516,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-11,10.218,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-12,10.306,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-13,6.651,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-14,0.871,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-15,-7.183,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-16,-2.192,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-17,-10.868,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-18,-13.145,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-19,-20.215,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-20,-27.171,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-21,-35.146,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-22,-39.763,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-23,-32.778,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-24,-31.687,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-25,-27.528,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-26,-30.248,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-27,-30.480,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-28,-36.213,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-29,-40.734,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-30,-32.719,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-03-31,-35.556,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-04-01,-24.616,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-04-02,-31.604,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-04-03,-28.973,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-04-04,-40.761,-50%
Alabama,1,1,Alabama,Retail & recreation,False,2020-04-05,-50.494,-50%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-23,2.099,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-24,-2.676,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-25,2.794,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-26,4.907,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-27,5.662,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-28,6.117,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-02-29,9.710,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-01,9.814,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-02,4.448,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-03,14.588,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-04,0.147,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-05,6.200,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-06,4.078,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-07,7.847,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-08,7.908,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-09,8.393,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-10,7.888,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-11,7.912,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-12,21.579,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-13,31.833,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-14,27.746,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-15,16.394,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-16,24.229,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-17,17.351,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-18,13.445,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-19,15.409,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-20,10.096,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-21,5.209,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-22,-7.343,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-23,-5.722,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-24,-5.033,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-25,-4.388,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-26,-3.417,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-27,-1.738,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-28,-2.362,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-29,-13.444,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-30,-10.241,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-03-31,-10.655,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-04-01,5.493,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-04-02,2.570,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-04-03,12.365,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-04-04,8.160,-18%
Alabama,1,2,Alabama,Grocery & pharmacy,False,2020-04-05,-17.556,-18%
Alabama,1,3,Alabama,Parks,False,2020-02-23,23.939,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-24,-13.255,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-25,26.997,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-26,6.681,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-27,13.803,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-28,20.400,-1%
Alabama,1,3,Alabama,Parks,False,2020-02-29,54.625,-1%
Alabama,1,3,Alabama,Parks,False,2020-03-01,52.776,-1%
