country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-23,8.560,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-24,4.133,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-25,1.072,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-26,4.853,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-27,3.240,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-28,3.525,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-02-29,9.021,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-01,10.386,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-02,7.176,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-03,6.137,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-04,6.478,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-05,6.669,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-06,1.604,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-07,9.801,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-08,8.048,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-09,8.527,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-10,3.852,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-11,5.201,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-12,5.307,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-13,-3.585,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-14,-7.299,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-15,-12.677,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-16,-7.000,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-17,-27.049,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-18,-26.824,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-19,-33.156,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-20,-31.768,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-21,-38.147,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-22,-43.090,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-23,-47.321,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-24,-42.939,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-25,-46.326,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-26,-41.216,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-27,-41.650,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-28,-48.492,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-29,-55.705,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-30,-42.705,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-03-31,-42.158,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-04-01,-40.065,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-04-02,-43.649,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-04-03,-46.437,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-04-04,-46.795,-50%
Connecticut,1,1,Connecticut,Retail & recreation,False,2020-04-05,-50.011,-50%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-23,0.224,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-24,1.853,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-25,-1.243,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-26,1.447,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-27,0.578,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-28,-0.399,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-02-29,0.464,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-01,5.176,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-02,8.120,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-03,9.534,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-04,8.080,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-05,7.619,-26%
Connecticut,1,2,Connecticut,Grocery & pharmacy,False,2020-03-06,1.146,-26%
