country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-23,3.034,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-24,-1.776,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-25,2.968,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-26,3.007,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-27,4.548,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-28,2.626,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-02-29,-6.021,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-01,1.550,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-02,-0.258,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-03,8.327,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-04,13.810,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-05,7.713,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-06,2.041,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-07,1.226,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-08,11.420,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-09,6.077,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-10,4.807,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-11,0.116,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-12,-3.881,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-13,-11.504,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-14,-28.149,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-15,-34.523,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-16,-31.473,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-17,-39.567,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-18,-45.092,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-19,-45.747,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-20,-49.690,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-21,-59.553,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-22,-60.057,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-23,-59.311,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-24,-55.169,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-25,-60.573,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-26,-57.819,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-27,-59.063,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-28,-68.316,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-29,-63.591,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-30,-56.693,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-03-31,-61.319,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-04-01,-58.442,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-04-02,-60.746,-66%
District of Columbia,1,1,District of Columbia,Retail & recreation,False,2020-04-03,-60.217,-66%
