country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-23,2.077,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-24,0.957,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-25,1.234,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-26,1.577,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-27,2.799,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-28,2.177,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-02-29,0.761,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-01,1.987,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-02,0.468,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-03,1.405,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-04,-0.788,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-05,0.995,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-06,-1.261,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-07,0.149,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-08,-0.338,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-09,-1.731,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-10,-1.896,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-11,-2.118,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-12,-1.990,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-13,-3.755,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-14,-6.238,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-15,-7.990,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-16,-9.751,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-17,-17.506,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-18,-20.446,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-19,-22.840,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-20,-30.536,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-21,-39.995,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-22,-41.867,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-23,-37.806,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-24,-45.145,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-25,-50.439,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-26,-51.268,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-27,-52.054,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-28,-55.850,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-29,-56.167,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-30,-48.901,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-03-31,-48.144,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-04-01,-48.320,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-04-02,-49.513,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-04-03,-49.057,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-04-04,-54.528,-55%
Hawaii,1,1,Hawaii,Retail & recreation,False,2020-04-05,-54.656,-55%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-23,0.000,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-24,-0.717,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-25,-0.337,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-26,2.271,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-27,3.708,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-28,1.751,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-02-29,1.237,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-01,2.267,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-02,0.929,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-03,5.055,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-04,1.198,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-05,6.250,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-06,1.027,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-07,3.516,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-08,2.396,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-09,1.013,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-10,0.043,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-11,0.620,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-12,5.334,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-13,9.133,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-14,6.414,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-15,4.876,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-16,7.303,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-17,0.632,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-18,-0.206,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-19,-1.625,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-20,-5.327,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-21,-14.142,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-22,-16.082,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-23,-14.563,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-24,-21.862,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-25,-30.470,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-26,-32.375,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-27,-31.545,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-28,-36.321,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-29,-36.399,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-30,-30.941,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-03-31,-30.750,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-04-01,-30.305,-26%
Hawaii,1,2,Hawaii,Grocery & pharmacy,False,2020-04-02,-27.292,-26%
