country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-23,83.312,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-24,7.704,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-25,7.108,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-26,5.512,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-27,12.671,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-28,15.062,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-02-29,48.376,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-01,109.779,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-02,18.524,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-03,35.544,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-04,52.374,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-05,12.060,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-06,46.722,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-07,82.946,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-08,140.418,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-09,-5.246,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-10,36.176,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-11,49.617,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-12,31.145,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-13,38.773,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-14,-16.358,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-15,18.252,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-16,15.245,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-17,65.087,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-18,0.612,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-19,-7.176,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-20,-5.440,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-21,22.273,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-22,-13.169,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-23,20.819,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-24,53.080,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-25,47.626,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-26,53.740,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-27,25.662,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-28,8.004,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-29,40.808,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-30,144.591,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-03-31,100.000,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-04-01,92.803,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-04-02,61.679,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-04-03,-7.253,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-04-04,45.359,-39%
Iowa,1,1,Iowa,Retail & recreation,False,2020-04-05,133.508,-39%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-23,13.694,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-24,0.821,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-25,-2.227,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-26,6.897,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-27,5.196,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-28,11.446,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-02-29,13.508,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-01,20.066,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-02,5.610,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-03,8.009,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-04,9.444,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-05,2.811,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-06,12.786,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-07,13.364,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-08,18.265,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-09,-0.883,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-10,4.649,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-11,7.859,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-12,5.312,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-13,9.850,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-14,-7.036,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-15,0.048,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-16,-2.656,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-17,-21.037,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-18,-32.221,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-19,-37.319,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-20,-35.438,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-21,-43.657,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-22,-45.574,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-23,-38.716,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-24,-40.807,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-25,-39.087,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-26,-39.629,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-27,-39.570,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-28,-48.403,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-29,-42.748,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-30,-33.939,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-03-31,-36.525,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-04-01,-33.623,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-04-02,-38.968,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-04-03,-40.722,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-04-04,-45.118,+1%
Iowa,1,2,Iowa,Grocery & pharmacy,False,2020-04-05,-39.153,+1%
Iowa,1,3,Iowa,Parks,False,2020-02-23,21.873,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-24,10.975,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-25,2.946,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-26,10.197,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-27,3.066,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-28,11.033,+134%
Iowa,1,3,Iowa,Parks,False,2020-02-29,18.405,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-01,28.638,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-02,12.697,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-03,15.489,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-04,17.045,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-05,5.510,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-06,14.703,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-07,22.406,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-08,27.601,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-09,9.872,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-10,15.529,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-11,22.062,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-12,21.656,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-13,33.030,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-14,18.309,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-15,29.629,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-16,47.882,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-17,34.383,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-18,16.936,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-19,4.133,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-20,9.902,+134%
Iowa,1,3,Iowa,Parks,False,2020-03-21,6.317,+134%
