country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-23,8.538,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-24,4.404,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-25,1.740,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-26,4.789,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-27,3.871,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-28,5.193,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-02-29,9.051,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-01,9.973,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-02,6.540,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-03,11.140,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-04,4.424,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-05,7.177,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-06,2.323,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-07,6.839,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-08,8.972,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-09,9.801,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-10,4.669,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-11,5.434,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-12,5.252,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-13,-5.386,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-14,-10.716,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-15,-14.827,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-16,-12.250,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-17,-31.748,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-18,-30.547,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-19,-38.946,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-20,-34.185,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-21,-42.394,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-22,-46.428,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-23,-40.410,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-24,-48.768,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-25,-52.110,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-26,-47.339,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-27,-47.777,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-28,-52.238,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-29,-59.363,-53%
Massachusetts,1,1,Massachusetts,Retail & recreation,False,2020-03-30,-48.512,-53%
