country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-23,3.645,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-24,1.982,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-25,9.899,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-26,21.772,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-27,17.949,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-28,15.337,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-02-29,19.895,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-01,23.368,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-02,16.536,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-03,21.908,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-04,12.255,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-05,15.614,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-06,10.015,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-07,13.946,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-08,16.144,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-09,11.986,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-10,15.924,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-11,15.393,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-12,14.346,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-13,5.057,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-14,3.193,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-15,1.663,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-16,3.875,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-17,-2.675,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-18,-5.302,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-19,-12.863,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-20,-22.551,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-21,-29.635,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-22,-35.845,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-23,-26.176,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-24,-27.966,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-25,-24.253,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-26,-25.771,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-27,-29.424,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-28,-33.994,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-29,-32.121,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-30,-26.498,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-03-31,-25.543,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-04-01,-14.640,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-04-02,-21.269,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-04-03,-28.379,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-04-04,-46.673,-43%
Mississippi,1,1,Mississippi,Retail & recreation,False,2020-04-05,-42.814,-43%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-23,1.624,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-24,0.479,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-25,3.209,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-26,7.999,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-27,7.055,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-28,8.225,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-02-29,11.684,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-01,13.836,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-02,8.991,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-03,15.826,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-04,4.178,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-05,9.679,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-06,5.115,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-07,10.132,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-08,9.495,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-09,7.698,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-10,10.803,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-11,9.709,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-12,23.863,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-13,20.837,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-14,21.458,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-15,17.116,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-16,25.435,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-17,20.790,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-18,17.204,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-19,17.610,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-20,9.922,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-21,8.076,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-22,-6.779,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-23,-0.451,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-24,-4.370,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-25,-4.551,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-26,-5.594,-14%
Mississippi,1,2,Mississippi,Grocery & pharmacy,False,2020-03-27,-8.945,-14%
