country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Montana,1,1,Montana,Retail & recreation,False,2020-02-23,9.769,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-24,0.694,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-25,3.974,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-26,9.409,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-27,12.202,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-28,10.587,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-02-29,13.542,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-01,17.693,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-02,9.010,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-03,10.387,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-04,7.715,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-05,11.534,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-06,8.932,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-07,11.444,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-08,11.199,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-09,7.953,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-10,7.996,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-11,6.119,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-12,9.949,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-13,-0.050,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-14,-15.073,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-15,-13.964,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-16,-2.269,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-17,-19.238,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-18,-27.167,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-19,-29.188,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-20,-32.900,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-21,-41.093,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-22,-39.236,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-23,-31.583,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-24,-35.130,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-25,-36.990,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-26,-32.514,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-27,-34.889,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-28,-58.500,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-29,-51.175,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-30,-42.151,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-03-31,-44.674,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-04-01,-46.525,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-04-02,-45.073,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-04-03,-43.949,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-04-04,-48.878,-45%
Montana,1,1,Montana,Retail & recreation,False,2020-04-05,-44.970,-45%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-23,4.720,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-24,-0.253,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-25,0.877,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-26,3.377,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-27,3.073,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-28,5.622,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-02-29,7.836,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-01,10.206,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-02,5.368,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-03,8.705,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-04,7.250,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-05,10.678,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-06,7.287,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-07,8.110,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-08,7.193,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-09,6.836,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-10,7.073,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-11,8.981,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-12,15.614,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-13,20.124,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-14,12.891,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-15,10.071,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-16,28.648,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-17,15.989,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-18,5.273,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-19,1.576,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-20,6.251,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-21,1.331,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-22,-7.016,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-23,-5.455,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-24,-6.029,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-25,-8.902,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-26,2.183,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-27,7.731,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-28,-24.884,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-29,-24.957,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-30,-18.710,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-03-31,-17.708,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-04-01,-18.214,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-04-02,-14.969,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-04-03,-9.436,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-04-04,-12.658,-17%
Montana,1,2,Montana,Grocery & pharmacy,False,2020-04-05,-16.503,-17%
Montana,1,3,Montana,Parks,False,2020-02-23,-5.884,+23%
Montana,1,3,Montana,Parks,False,2020-02-24,-8.953,+23%
Montana,1,3,Montana,Parks,False,2020-02-25,9.785,+23%
Montana,1,3,Montana,Parks,False,2020-02-26,-1.161,+23%
Montana,1,3,Montana,Parks,False,2020-02-27,8.237,+23%
Montana,1,3,Montana,Parks,False,2020-02-28,19.758,+23%
Montana,1,3,Montana,Parks,False,2020-02-29,-3.656,+23%
Montana,1,3,Montana,Parks,False,2020-03-01,-0.656,+23%
Montana,1,3,Montana,Parks,False,2020-03-02,-0.619,+23%
Montana,1,3,Montana,Parks,False,2020-03-03,12.537,+23%
Montana,1,3,Montana,Parks,False,2020-03-04,0.578,+23%
Montana,1,3,Montana,Parks,False,2020-03-05,18.748,+23%
