country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-23,2.665,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-24,-2.388,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-25,7.551,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-26,9.590,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-27,11.286,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-28,8.733,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-02-29,15.931,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-01,16.449,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-02,8.124,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-03,16.759,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-04,11.673,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-05,11.068,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-06,5.475,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-07,11.833,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-08,12.748,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-09,8.413,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-10,7.955,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-11,8.001,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-12,6.811,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-13,2.043,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-14,-4.227,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-15,-7.999,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-16,-3.668,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-17,-10.241,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-18,-14.798,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-19,-17.003,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-20,-27.042,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-21,-32.925,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-22,-36.544,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-23,-31.978,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-24,-38.580,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-25,-33.134,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-26,-30.721,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-27,-34.057,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-28,-37.803,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-29,-35.267,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-30,-30.946,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-03-31,-35.686,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-04-01,-30.645,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-04-02,-32.553,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-04-03,-37.221,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-04-04,-44.697,-43%
Tennessee,1,1,Tennessee,Retail & recreation,False,2020-04-05,-42.915,-43%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-23,1.013,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-24,-4.221,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-25,2.693,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-26,5.039,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-27,4.886,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-28,4.015,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-02-29,8.893,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-01,11.361,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-02,3.631,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-03,12.016,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-04,10.702,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-05,10.222,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-06,4.433,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-07,10.086,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-08,10.712,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-09,6.516,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-10,8.348,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-11,11.043,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-12,23.953,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-13,23.407,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-14,19.197,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-15,12.608,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-16,20.301,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-17,16.558,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-18,13.693,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-19,13.974,-9%
Tennessee,1,2,Tennessee,Grocery & pharmacy,False,2020-03-20,9.021,-9%
