country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Washington,1,1,Washington,Retail & recreation,False,2020-02-23,10.329,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-24,2.604,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-25,5.635,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-26,9.130,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-27,9.055,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-28,6.579,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-02-29,6.853,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-01,18.131,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-02,4.253,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-03,6.030,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-04,5.456,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-05,1.981,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-06,-1.718,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-07,-2.716,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-08,6.574,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-09,1.905,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-10,1.293,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-11,0.567,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-12,-1.178,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-13,-8.885,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-14,-19.036,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-15,-9.952,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-16,-13.470,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-17,-26.156,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-18,-28.008,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-19,-30.907,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-20,-32.672,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-21,-42.730,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-22,-38.479,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-23,-36.140,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-24,-40.742,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-25,-43.976,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-26,-48.896,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-27,-50.611,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-28,-55.387,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-29,-47.860,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-30,-45.310,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-03-31,-42.130,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-04-01,-40.060,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-04-02,-43.731,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-04-03,-44.798,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-04-04,-50.496,-46%
Washington,1,1,Washington,Retail & recreation,False,2020-04-05,-45.798,-46%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-23,0.168,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-24,-1.060,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-25,1.296,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-26,4.374,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-27,3.920,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-28,2.435,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-02-29,6.504,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-01,9.545,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-02,8.067,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-03,11.226,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-04,8.807,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-05,6.930,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-06,2.258,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-07,0.777,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-08,1.613,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-09,3.301,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-10,4.578,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-11,8.737,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-12,15.287,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-13,16.793,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-14,7.814,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-15,4.710,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-16,19.050,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-17,7.615,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-18,5.204,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-19,3.079,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-20,3.057,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-21,-9.039,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-22,-14.497,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-23,-8.742,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-24,-13.061,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-25,-16.109,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-26,-20.944,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-27,-22.239,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-28,-25.969,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-29,-25.594,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-30,-23.201,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-03-31,-17.789,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-04-01,-12.481,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-04-02,-15.779,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-04-03,-15.148,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-04-04,-18.666,-21%
Washington,1,2,Washington,Grocery & pharmacy,False,2020-04-05,-21.258,-21%
Washington,1,3,Washington,Parks,False,2020-02-23,-10.816,-11%
Washington,1,3,Washington,Parks,False,2020-02-24,14.979,-11%
Washington,1,3,Washington,Parks,False,2020-02-25,36.241,-11%
Washington,1,3,Washington,Parks,False,2020-02-26,47.569,-11%
Washington,1,3,Washington,Parks,False,2020-02-27,56.907,-11%
Washington,1,3,Washington,Parks,False,2020-02-28,30.955,-11%
Washington,1,3,Washington,Parks,False,2020-02-29,30.694,-11%
Washington,1,3,Washington,Parks,False,2020-03-01,27.180,-11%
Washington,1,3,Washington,Parks,False,2020-03-02,-6.531,-11%
Washington,1,3,Washington,Parks,False,2020-03-03,22.586,-11%
Washington,1,3,Washington,Parks,False,2020-03-04,56.413,-11%
Washington,1,3,Washington,Parks,False,2020-03-05,21.358,-11%
Washington,1,3,Washington,Parks,False,2020-03-06,13.323,-11%
Washington,1,3,Washington,Parks,False,2020-03-07,17.505,-11%
Washington,1,3,Washington,Parks,False,2020-03-08,33.574,-11%
Washington,1,3,Washington,Parks,False,2020-03-09,48.885,-11%
Washington,1,3,Washington,Parks,False,2020-03-10,36.920,-11%
Washington,1,3,Washington,Parks,False,2020-03-11,46.195,-11%
Washington,1,3,Washington,Parks,False,2020-03-12,38.686,-11%
Washington,1,3,Washington,Parks,False,2020-03-13,-14.609,-11%
Washington,1,3,Washington,Parks,False,2020-03-14,3.329,-11%
Washington,1,3,Washington,Parks,False,2020-03-15,27.674,-11%
Washington,1,3,Washington,Parks,False,2020-03-16,44.853,-11%
Washington,1,3,Washington,Parks,False,2020-03-17,62.328,-11%
Washington,1,3,Washington,Parks,False,2020-03-18,92.561,-11%
Washington,1,3,Washington,Parks,False,2020-03-19,86.701,-11%
Washington,1,3,Washington,Parks,False,2020-03-20,86.381,-11%
Washington,1,3,Washington,Parks,False,2020-03-21,75.027,-11%
Washington,1,3,Washington,Parks,False,2020-03-22,29.798,-11%
Washington,1,3,Washington,Parks,False,2020-03-23,-3.944,-11%
Washington,1,3,Washington,Parks,False,2020-03-24,-3.468,-11%
Washington,1,3,Washington,Parks,False,2020-03-25,6.664,-11%
Washington,1,3,Washington,Parks,False,2020-03-26,-15.023,-11%
Washington,1,3,Washington,Parks,False,2020-03-27,-19.235,-11%
Washington,1,3,Washington,Parks,False,2020-03-28,-26.124,-11%
Washington,1,3,Washington,Parks,False,2020-03-29,-10.580,-11%
Washington,1,3,Washington,Parks,False,2020-03-30,-25.876,-11%
Washington,1,3,Washington,Parks,False,2020-03-31,-1.463,-11%
Washington,1,3,Washington,Parks,False,2020-04-01,18.188,-11%
Washington,1,3,Washington,Parks,False,2020-04-02,-1.449,-11%
Washington,1,3,Washington,Parks,False,2020-04-03,-11.612,-11%
Washington,1,3,Washington,Parks,False,2020-04-04,4.667,-11%
Washington,1,3,Washington,Parks,False,2020-04-05,-11.417,-11%
Washington,2,4,Washington,Transit stations,False,2020-02-23,3.168,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-24,2.590,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-25,4.990,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-26,6.666,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-27,8.560,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-28,6.219,-56%
Washington,2,4,Washington,Transit stations,False,2020-02-29,4.951,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-01,8.944,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-02,-3.411,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-03,-2.272,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-04,-2.414,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-05,-7.710,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-06,-11.902,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-07,-5.612,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-08,-4.914,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-09,-14.636,-56%
Washington,2,4,Washington,Transit stations,False,2020-03-10,-15.238,-56%
