country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-23,65.228,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-24,9.280,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-25,8.101,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-26,6.323,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-27,4.812,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-28,7.093,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-02-29,28.272,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-01,90.258,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-02,19.460,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-03,15.783,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-04,25.698,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-05,7.283,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-06,14.567,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-07,52.293,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-08,132.674,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-09,-1.177,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-10,38.129,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-11,15.296,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-12,10.599,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-13,12.985,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-14,2.197,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-15,46.675,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-16,6.787,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-17,57.683,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-18,-5.166,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-19,-15.994,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-20,-5.783,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-21,23.449,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-22,26.255,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-23,24.793,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-24,43.367,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-25,43.441,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-26,15.150,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-27,32.680,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-28,-25.501,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-29,-11.901,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-30,52.286,-47%
Wisconsin,1,1,Wisconsin,Retail & recreation,False,2020-03-31,19.693,-47%
