country,page_num,plot_num,region,plot_name,asterisk,date,value,headline
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-23,8.364,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-24,-1.882,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-25,-0.833,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-26,7.644,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-27,9.021,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-28,10.143,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-02-29,12.756,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-01,0.094,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-02,5.312,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-03,10.990,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-04,9.097,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-05,11.140,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-06,8.054,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-07,12.778,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-08,8.968,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-09,9.432,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-10,8.648,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-11,8.182,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-12,5.817,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-13,-3.130,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-14,-7.079,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-15,-4.101,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-16,0.612,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-17,-7.275,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-18,-13.179,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-19,-31.160,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-20,-37.856,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-21,-38.612,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-22,-38.120,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-23,-27.992,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-24,-31.174,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-25,-35.160,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-26,-36.198,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-27,-41.664,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-28,-43.610,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-29,-37.214,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-30,-30.661,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-03-31,-30.839,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-04-01,-33.438,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-04-02,-43.925,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-04-03,-36.616,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-04-04,-41.705,-39%
Wyoming,1,1,Wyoming,Retail & recreation,False,2020-04-05,-39.116,-39%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-23,8.045,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-24,3.744,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-25,2.472,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-26,8.730,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-27,7.318,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-28,12.108,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-02-29,13.291,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-01,2.734,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-02,8.411,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-03,14.236,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-04,12.495,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-05,12.274,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-06,12.243,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-07,14.847,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-08,10.203,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-09,16.139,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-10,15.398,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-11,15.582,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-12,25.513,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-13,29.268,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-14,20.434,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-15,16.759,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-16,33.278,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-17,27.162,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-18,21.381,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-19,4.211,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-20,7.061,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-21,4.309,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-22,-6.561,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-23,2.979,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-24,-0.392,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-25,-5.878,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-26,-6.514,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-27,-8.080,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-28,-12.098,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-29,-13.200,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-30,-5.437,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-03-31,-4.804,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-04-01,-5.878,-11%
Wyoming,1,2,Wyoming,Grocery & pharmacy,False,2020-04-02,-16.573,-11%
