FIPStxt,Stabr,area_name,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
0,US,United States,,,,142601667.0,136904680.0,5696987.0,3.9950353455545513,143786778.0,136978129.0,6808649.0,4.735239981523197,144839532.0,136455911.0,8383621.0,5.78821326210858,145660181.0,136944540.0,8715641.0,5.983543985847443,146725005.0,138614038.0,8110967.0,5.528005945544183,148012786.0,140462401.0,7550385.0,5.101170786691361,150223730.0,143262292.0,6961438.0,4.634046831349481,152191286.0,145156247.0,7035039.0,4.622497900438268,153761298.0,144860522.0,8900776.0,5.788697231210938,153825791.0,139594849.0,14230942.0,9.251336793060924,154270726.0,139408198.0,14862528.0,9.634055912850245,154606324.0,140765822.0,13840502.0,8.952093059272272,155119209.0,142600412.0,12518797.0,8.070436331325027,155485689.0,144018150.0,11467539.0,7.37530191604965,155957310.0,146338323.0,9618987.0,6.167705123921412,156798981.0,148515185.0,8283796.0,5.283067496465427,158626135.0,150902618.0,7723517.0,4.8690066110480466,160158564.0,153183461.0,6975103.0,4.3551233388930735,161389026.0,155102319.0,6286707.0,3.8953745219331086,163100055.0,157115247.0,5984808.0,3.669408940420039,61937.0,
1000,AL,Alabama,,,,2133223.0,2035594.0,97629.0,4.6,2115401.0,2006884.0,108517.0,5.1,2106161.0,1981919.0,124242.0,5.9,2120225.0,1992732.0,127493.0,6.0,2136458.0,2014889.0,121569.0,5.7,2146025.0,2049791.0,96234.0,4.5,2167809.0,2080233.0,87576.0,4.0,2175612.0,2089127.0,86485.0,4.0,2176489.0,2053477.0,123012.0,5.7,2162999.0,1924747.0,238252.0,11.0,2196042.0,1964559.0,231483.0,10.5,2202670.0,1990413.0,212257.0,9.6,2176337.0,2003290.0,173047.0,8.0,2174000.0,2017043.0,156957.0,7.2,2160842.0,2014290.0,146552.0,6.8,2161481.0,2030005.0,131476.0,6.1,2182558.0,2055251.0,127307.0,5.8,2186869.0,2090373.0,96496.0,4.4,2216627.0,2130845.0,85782.0,3.9,2241747.0,2174483.0,67264.0,3.0,49881.0,100.0
1001,AL,"Autauga County, AL",2.0,2.0,1.0,21720.0,20846.0,874.0,4.0,21955.0,21055.0,900.0,4.1,22094.0,21035.0,1059.0,4.8,22604.0,21462.0,1142.0,5.1,23218.0,22103.0,1115.0,4.8,23949.0,23037.0,912.0,3.8,24398.0,23585.0,813.0,3.3,24383.0,23577.0,806.0,3.3,24687.0,23420.0,1267.0,5.1,24703.0,22301.0,2402.0,9.7,25713.0,23431.0,2282.0,8.9,25836.0,23677.0,2159.0,8.4,25740.0,23961.0,1779.0,6.9,25810.0,24205.0,1605.0,6.2,25592.0,24097.0,1495.0,5.8,25652.0,24321.0,1331.0,5.2,26031.0,24709.0,1322.0,5.1,26075.0,25062.0,1013.0,3.9,26196.0,25261.0,935.0,3.6,26172.0,25458.0,714.0,2.7,59338.0,118.9591227120547
1003,AL,"Baldwin County, AL",3.0,2.0,1.0,69533.0,66971.0,2562.0,3.7,69161.0,66195.0,2966.0,4.3,69169.0,65691.0,3478.0,5.0,72299.0,68702.0,3597.0,5.0,74772.0,70919.0,3853.0,5.2,76804.0,73743.0,3061.0,4.0,79711.0,77147.0,2564.0,3.2,82659.0,80099.0,2560.0,3.1,83223.0,79372.0,3851.0,4.6,82451.0,74403.0,8048.0,9.8,83459.0,75120.0,8339.0,10.0,85045.0,77418.0,7627.0,9.0,84414.0,78065.0,6349.0,7.5,85280.0,79626.0,5654.0,6.6,86384.0,81083.0,5301.0,6.1,87872.0,83010.0,4862.0,5.5,90895.0,86060.0,4835.0,5.3,92456.0,88711.0,3745.0,4.1,95233.0,91809.0,3424.0,3.6,97328.0,94675.0,2653.0,2.7,57588.0,115.45077283935767
1005,AL,"Barbour County, AL",6.0,6.0,0.0,11373.0,10748.0,625.0,5.5,11250.0,10412.0,838.0,7.4,10971.0,10125.0,846.0,7.7,10977.0,10196.0,781.0,7.1,10633.0,9865.0,768.0,7.2,10760.0,10136.0,624.0,5.8,10705.0,10096.0,609.0,5.7,10334.0,9684.0,650.0,6.3,10161.0,9267.0,894.0,8.8,10003.0,8572.0,1431.0,14.3,10221.0,8959.0,1262.0,12.3,9849.0,8712.0,1137.0,11.5,9362.0,8283.0,1079.0,11.5,9099.0,8168.0,931.0,10.2,8845.0,7913.0,932.0,10.5,8625.0,7860.0,765.0,8.9,8436.0,7736.0,700.0,8.3,8349.0,7863.0,486.0,5.8,8414.0,7987.0,427.0,5.1,8537.0,8213.0,324.0,3.8,34382.0,68.92804875603937
1007,AL,"Bibb County, AL",1.0,1.0,1.0,8565.0,8111.0,454.0,5.3,9081.0,8468.0,613.0,6.8,8933.0,8309.0,624.0,7.0,8836.0,8309.0,527.0,6.0,8843.0,8359.0,484.0,5.5,8861.0,8463.0,398.0,4.5,8850.0,8477.0,373.0,4.2,8791.0,8432.0,359.0,4.1,8749.0,8241.0,508.0,5.8,8742.0,7581.0,1161.0,13.3,8934.0,7914.0,1020.0,11.4,8933.0,7996.0,937.0,10.5,8798.0,8047.0,751.0,8.5,8705.0,8016.0,689.0,7.9,8559.0,7942.0,617.0,7.2,8589.0,8021.0,568.0,6.6,8644.0,8088.0,556.0,6.4,8583.0,8208.0,375.0,4.4,8605.0,8268.0,337.0,3.9,8685.0,8419.0,266.0,3.1,46064.0,92.34778773480885
1009,AL,"Blount County, AL",1.0,1.0,1.0,25106.0,24231.0,875.0,3.5,25305.0,24393.0,912.0,3.6,25757.0,24366.0,1391.0,5.4,25900.0,24702.0,1198.0,4.6,26208.0,25101.0,1107.0,4.2,26446.0,25491.0,955.0,3.6,26770.0,25902.0,868.0,3.2,26629.0,25780.0,849.0,3.2,26698.0,25453.0,1245.0,4.7,26480.0,23832.0,2648.0,10.0,24906.0,22460.0,2446.0,9.8,25123.0,22939.0,2184.0,8.7,24960.0,23244.0,1716.0,6.9,24887.0,23325.0,1562.0,6.3,24527.0,23023.0,1504.0,6.1,24521.0,23198.0,1323.0,5.4,24684.0,23358.0,1326.0,5.4,24822.0,23824.0,998.0,4.0,25069.0,24201.0,868.0,3.5,25331.0,24655.0,676.0,2.7,50412.0,101.06453358994408
1011,AL,"Bullock County, AL",6.0,6.0,0.0,3971.0,3635.0,336.0,8.5,3912.0,3524.0,388.0,9.9,3877.0,3483.0,394.0,10.2,3979.0,3540.0,439.0,11.0,3880.0,3430.0,450.0,11.6,3747.0,3391.0,356.0,9.5,3702.0,3372.0,330.0,8.9,3653.0,3308.0,345.0,9.4,3634.0,3251.0,383.0,10.5,3739.0,3156.0,583.0,15.6,4941.0,4356.0,585.0,11.8,4833.0,4272.0,561.0,11.6,4736.0,4245.0,491.0,10.4,4778.0,4331.0,447.0,9.4,4732.0,4314.0,418.0,8.8,4785.0,4406.0,379.0,7.9,4844.0,4514.0,330.0,6.8,4852.0,4614.0,238.0,4.9,4791.0,4571.0,220.0,4.6,4818.0,4643.0,175.0,3.6,29267.0,58.67364327098494
1013,AL,"Butler County, AL",6.0,6.0,0.0,9156.0,8445.0,711.0,7.8,9003.0,8328.0,675.0,7.5,9144.0,8424.0,720.0,7.9,9183.0,8386.0,797.0,8.7,9088.0,8224.0,864.0,9.5,9139.0,8547.0,592.0,6.5,9238.0,8709.0,529.0,5.7,9099.0,8539.0,560.0,6.2,9051.0,8278.0,773.0,8.5,9104.0,7615.0,1489.0,16.4,9261.0,7998.0,1263.0,13.6,9188.0,8042.0,1146.0,12.5,9088.0,8039.0,1049.0,11.5,9147.0,8206.0,941.0,10.3,9270.0,8477.0,793.0,8.6,9151.0,8457.0,694.0,7.6,9229.0,8593.0,636.0,6.9,8975.0,8481.0,494.0,5.5,8973.0,8553.0,420.0,4.7,9263.0,8925.0,338.0,3.6,37365.0,74.90828171047093
1015,AL,"Calhoun County, AL",3.0,2.0,1.0,52896.0,50223.0,2673.0,5.1,51578.0,48744.0,2834.0,5.5,51952.0,48851.0,3101.0,6.0,52817.0,49673.0,3144.0,6.0,54026.0,51065.0,2961.0,5.5,53955.0,51524.0,2431.0,4.5,54063.0,51872.0,2191.0,4.1,54861.0,52709.0,2152.0,3.9,54564.0,51468.0,3096.0,5.7,53925.0,47929.0,5996.0,11.1,51559.0,45699.0,5860.0,11.4,51268.0,45963.0,5305.0,10.3,49649.0,45252.0,4397.0,8.9,48405.0,44163.0,4242.0,8.8,47237.0,43467.0,3770.0,8.0,45995.0,42764.0,3231.0,7.0,46013.0,43016.0,2997.0,6.5,45950.0,43679.0,2271.0,4.9,46307.0,44191.0,2116.0,4.6,46209.0,44574.0,1635.0,3.5,45400.0,91.0166195545398
